"event_id","event_name","event_url","locale","current_date"
"17AOvOG6CkBa7Ol","Lil Wayne - LIVE IN CONCERT","https://www.ticketmaster.com/lil-wayne-live-in-concert-louisville-kentucky-10-16-2024/event/160060E1BA24482B","en-us","2024-10-16"
"vvG17ZbGn7Wsbj","Abhi The Nomad","https://www.ticketmaster.com/abhi-the-nomad-somerville-massachusetts-10-16-2024/event/010060CA84F7161C","en-us","2024-10-16"
"vv170Zb8Gkz5PPJJ","Your Old Droog with The Koreatown Oddity","https://concerts.livenation.com/your-old-droog-with-the-koreatown-los-angeles-california-10-16-2024/event/0900610E0B9659A6","en-us","2024-10-16"
"vvG1fZbC7d_ksm","Lil Wayne - LIVE IN CONCERT","https://www.ticketmaster.com/lil-wayne-live-in-concert-columbus-ohio-10-17-2024/event/050060E103646C6E","en-us","2024-10-16"
"vv170Zb8GkDJ4V2v","SonReal","https://concerts.livenation.com/sonreal-anaheim-california-10-17-2024/event/0900610EE65743C1","en-us","2024-10-16"
"vv170ZbFGkzQuNL1","El Cuarteto De Nos","https://concerts.livenation.com/el-cuarteto-de-nos-los-angeles-california-10-17-2024/event/0900608E1A3637CA","en-us","2024-10-16"
"vvG1IZbC14hx4B","Marc E. Bassy & Skizzy Mars Present: Folk Heroes North America 2024","https://concerts.livenation.com/marc-e-bassy-skizzy-mars-present-san-diego-california-10-17-2024/event/0A0060E2956E257A","en-us","2024-10-16"
"vv17OZb8GkDdzxEC","Too $hort wsg Stevie Stone","https://www.ticketmaster.com/too-hort-wsg-stevie-stone-detroit-michigan-10-18-2024/event/0800610EC3E229CE","en-us","2024-10-16"
"vvG1FZbG2-EAZO","Homixide Gang","https://concerts.livenation.com/homixide-gang-philadelphia-pennsylvania-10-18-2024/event/020060C3E19C5020","en-us","2024-10-16"
"vvG10ZbC9CIVLr","Nick Cannon Presents: MTV Wild 'N Out Live","https://www.ticketmaster.com/nick-cannon-presents-mtv-wild-n-inglewood-california-10-18-2024/event/090060E5CEA347DE","en-us","2024-10-16"
"vvG10ZbGzkzk_m","Ying Yang Twins & Yung Joc","https://www.ticketmaster.com/ying-yang-twins-yung-joc-cabazon-california-10-18-2024/event/090060CE06E0666E","en-us","2024-10-16"
"vvG1jZbumiiSdg","Lil Wayne - LIVE IN CONCERT","https://www.ticketmaster.com/lil-wayne-live-in-concert-milwaukee-wisconsin-10-19-2024/event/070060DBACB330F5","en-us","2024-10-16"
"G5vzZb22JT40R","Lupe Fiasco - Samurai Tour","https://concerts.livenation.com/lupe-fiasco-samurai-tour-denver-colorado-10-19-2024/event/1E0060F3E6FD592F","en-us","2024-10-16"
"1Av0Zb6GkSfdNUM","Ice Cube - Nightmare on Cube Street","https://www.ticketmaster.com/ice-cube-nightmare-on-cube-street-phoenix-arizona-10-19-2024/event/1900607CD40E3DB7","en-us","2024-10-16"
"G5eYZbuCuF8Y7","Don Toliver - Psycho Tour","https://www.ticketmaster.com/don-toliver-psycho-tour-los-angeles-california-10-19-2024/event/2C0060D38D210C04","en-us","2024-10-16"
"vvG1HZb89xQ4jQ","Wale - Every Blue Moon Tour","https://www.ticketmaster.com/wale-every-blue-moon-tour-seattle-washington-10-19-2024/event/0F006105E269571A","en-us","2024-10-16"
"vvG1zZb3nIUx3q","Yhapojj","https://www.ticketmaster.com/yhapojj-atlanta-georgia-10-20-2024/event/0E00612AA8DA249D","en-us","2024-10-16"
"vvG1bZb5SJYU8F","Struggle Jennings: The El Camino Tour","https://www.ticketmaster.com/struggle-jennings-the-el-camino-tour-columbia-missouri-10-20-2024/event/060060BCE6C36408","en-us","2024-10-16"
"vvG10ZbGL-MJm_","Juvenile","https://concerts.livenation.com/juvenile-anaheim-california-10-20-2024/event/090060C7E1DE6B99","en-us","2024-10-16"
"17k8vOG6CtBYo5e","03 Greedo","https://www.ticketmaster.com/03-greedo-mesa-arizona-10-20-2024/event/190060EA7AC112C2","en-us","2024-10-16"
"vv1AaZk7yGkeBDSu_","Nowhen - Moments In Sound w/ Igwe Aka","https://www.ticketmaster.com/nowhen-moments-in-sound-w-igwe-los-angeles-california-10-20-2024/event/09006139BAEF3359","en-us","2024-10-16"
"vvG1YZbKGu0AmL","Bak Jay","https://concerts.livenation.com/bak-jay-dallas-texas-10-21-2024/event/0C0061330D905B9F","en-us","2024-10-16"
"vvG1bZbC1w6wGP","SNOTTY NOSE REZ KIDS - RED FUTURE","https://www.ticketmaster.com/snotty-nose-rez-kids-red-future-kansas-city-missouri-10-21-2024/event/060060E2B21F2325","en-us","2024-10-16"
"vvG17ZbGUw_Avs","Atmosphere - The Traveling Forever Tour","https://www.ticketmaster.com/atmosphere-the-traveling-forever-tour-charlottesville-virginia-10-23-2024/event/010060CDB2645071","en-us","2024-10-16"
"G5dIZb2BN9fDL","Post Malone: F-1 Trillion Tour","https://concerts.livenation.com/post-malone-f1-trillion-tour-the-woodlands-texas-10-23-2024/event/3A0060FEA35D4EDF","en-us","2024-10-16"
"G5vzZbuSPk966","SNOTTY NOSE REZ KIDS - RED FUTURE","https://concerts.livenation.com/snotty-nose-rez-kids-red-future-denver-colorado-10-23-2024/event/1E0060DCE51971C7","en-us","2024-10-16"
"G5vYZb2x3sSmF","Wale - Every Blue Moon Tour","https://concerts.livenation.com/wale-every-blue-moon-tour-san-francisco-california-10-23-2024/event/1C0060F892C73B88","en-us","2024-10-16"
"17A8vOG6uRgQk3O","PawPaw Rod - Doobie Mouth Tour","https://www.ticketmaster.com/pawpaw-rod-doobie-mouth-tour-washington-district-of-columbia-10-24-2024/event/150060DBF56864A0","en-us","2024-10-16"
"17FOvOG62e4aZXf","UCF Homecoming Concert - NLE Choppa","https://www.ticketmaster.com/ucf-homecoming-concert-nle-choppa-orlando-florida-10-24-2024/event/220060F095240F94","en-us","2024-10-16"
"1AeZZboGkBts33r","INSANE CLOWN POSSE - TRAIN OF TERROR TOUR","https://www.ticketmaster.com/insane-clown-posse-train-of-terror-birmingham-alabama-10-24-2024/event/2000611EA9C5249E","en-us","2024-10-16"
"vvG1VZb1Xw_3Fg","A Boogie Wit Da Hoodie: Better Off Alone Tour","https://concerts.livenation.com/a-boogie-wit-da-hoodie-better-miami-florida-10-24-2024/event/0D0060AFB2652235","en-us","2024-10-16"
"G5vzZboeYFgJS","POLO G: THE HOOD POET TOUR 2024","https://concerts.livenation.com/polo-g-the-hood-poet-tour-denver-colorado-10-24-2024/event/1E006110B02359B3","en-us","2024-10-16"
"vvG1bZb2rrK7Bx","Blxst - I'll Always Come Find You Tour","https://www.ticketmaster.com/blxst-ill-always-come-find-you-saint-louis-missouri-10-24-2024/event/060060F79E4C4EA2","en-us","2024-10-16"
"vvG1zZb1kLySEu","Little Stranger","https://www.ticketmaster.com/little-stranger-atlanta-georgia-10-25-2024/event/0E0060A19FE739CD","en-us","2024-10-16"
"17FOvOG6CJqc-3y","Juvenile","https://www.ticketmaster.com/juvenile-st-augustine-florida-10-25-2024/event/220060E99DB614B9","en-us","2024-10-16"
"vvG1fZbGwbK6aO","Atmosphere","https://www.ticketmaster.com/atmosphere-nashville-indiana-10-25-2024/event/050060CC984C7260","en-us","2024-10-16"
"vvG1zZboLrJkod","Xavier Wulf: HSG Street Chasers Tour","https://www.ticketmaster.com/xavier-wulf-hsg-street-chasers-tour-atlanta-georgia-10-25-2024/event/0E006117DE986443","en-us","2024-10-16"
"G5vYZboQ_0eiW","Rod Wave - Last Lap Tour","https://www.ticketmaster.com/rod-wave-last-lap-tour-sacramento-california-10-25-2024/event/1C00611699902B3D","en-us","2024-10-16"
"vv1ke8v-vzGA2voLC","Wale - Every Blue Moon Tour","https://concerts.livenation.com/wale-every-blue-moon-tour-los-angeles-california-10-25-2024/event/090061078F0517CE","en-us","2024-10-16"
"k7vGFb1N_fMI8","Sueco - Attempted Lover Tour","https://concerts.livenation.com/sueco-attempted-lover-tour-new-york-new-york-10-26-2024/event/000060A8D9537A10","en-us","2024-10-16"
"17A8vOG6u3QkwBF","DIE ANTWOORD: FLAME ON MUDDAF*CKA - North & South American Tour 2024","https://www.ticketmaster.com/die-antwoord-flame-on-muddafcka-north-washington-district-of-columbia-10-26-2024/event/150060D49A1B2E88","en-us","2024-10-16"
"vv17bZboGkMURERI","Insane Clown Posse: Train Of Terror Tour","https://www.ticketmaster.com/insane-clown-posse-train-of-terror-columbia-missouri-10-26-2024/event/0600611DF6BE7BE8","en-us","2024-10-16"
"G5viZb39UCdcl","2Ls Presents: Nightmare on 3rd St","https://www.ticketmaster.com/2ls-presents-nightmare-on-3rd-st-nashville-tennessee-10-26-2024/event/1B006125F6383B6B","en-us","2024-10-16"
"G5viZb8MuXM_G","DeJ Loaf ""Where My Fans Tour""","https://www.ticketmaster.com/dej-loaf-where-my-fans-tour-new-orleans-louisiana-10-26-2024/event/1B00610DCDFB764C","en-us","2024-10-16"
"vvG1iZb8rT_-J0","Wale - Every Blue Moon Tour","https://concerts.livenation.com/wale-every-blue-moon-tour-san-diego-california-10-26-2024/event/0B006107BF6619A4","en-us","2024-10-16"
"vvG1FZbG9CkzN2","DJ  Aktive presents ""Protect Ya Neck""","https://www.ticketmaster.com/dj-aktive-presents-protect-ya-neck-philadelphia-pennsylvania-10-27-2024/event/020060C5CE1B88CF","en-us","2024-10-16"
"vv1kvOv-7FGA5gAH-","POLO G: THE HOOD POET TOUR 2024","https://www.ticketmaster.com/polo-g-the-hood-poet-tour-minneapolis-minnesota-10-27-2024/event/060061108BD45F21","en-us","2024-10-16"
"vvG1YZb8Dxd0Li","SonReal - All Things Aside Tour","https://concerts.livenation.com/sonreal-all-things-aside-tour-dallas-texas-10-27-2024/event/0C00610EE20E47EC","en-us","2024-10-16"
"vvG1bZb10fjF60","Sueco - Attempted Lover Tour","https://concerts.livenation.com/sueco-attempted-lover-tour-minneapolis-minnesota-10-15-2024/event/060060A9147081E4","en-us","2024-10-16"
"vvG1YZbFJVC-TT","El Cuarteto De Nos","https://concerts.livenation.com/el-cuarteto-de-nos-dallas-texas-10-15-2024/event/0C006089B43A1FFF","en-us","2024-10-16"
"G5vzZb8ry_eUM","Wale - Every Blue Moon Tour","https://concerts.livenation.com/wale-every-blue-moon-tour-salt-lake-city-utah-10-15-2024/event/1E006107B9642DB7","en-us","2024-10-16"
